,GLD,MDYG,MDYV,SLYG,SLYV,SPHB,SPLV,SPYG,SPYV,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XMLV,XSLV
2000-03-02 00:00:00+00:00,,,,,,,,,,12.2307152225,,16.0687336357,10.8575044454,17.0828416109,43.721266545,12.2778167236,,11.8645163501,20.4600253853,19.4463364483,,
2000-03-03 00:00:00+00:00,,,,,,,,,,12.6281683021,,15.8157290417,10.9569225584,17.549221842,44.9331893721,12.2115478404,,11.969471687,20.7424823729,19.8067377942,,
2000-03-06 00:00:00+00:00,,,,,,,,,,12.3270674843,,15.7215877974,10.8470393809,17.47593352,44.8564853957,11.916350088,,11.6363525741,20.3369031086,19.338982856,,
2000-03-07 00:00:00+00:00,,,,,,,,,,11.9296144047,,16.8042121068,10.5226223806,16.783025748,43.6292217734,11.2777590317,,11.4994543085,19.9602937918,18.8022148941,,
2000-03-08 00:00:00+00:00,,,,,,,,,,12.1825390917,,16.5276722017,10.4022741386,16.956252691,44.3962615373,11.6271767795,,11.5815932679,19.8588989757,19.0245901926,,
2000-03-09 00:00:00+00:00,,,,,,,,,,12.1644730426,,16.5512075128,10.4545994612,17.1361422087,45.7385811242,11.9344234198,,11.6728587782,20.3224181349,19.4079958796,,
2000-03-10 00:00:00+00:00,,,,,,,,,,12.272869337,,16.3276220576,10.491227187,17.1761176571,45.8306258959,11.7958612094,,11.6728587782,20.1558409371,19.1472800124,,
2000-03-13 00:00:00+00:00,,,,,,,,,,12.4595518441,,16.0863851191,10.5958778323,16.9162772426,45.1633013012,11.6091034477,,11.7093649824,20.0109911998,18.9939177376,,
2000-03-14 00:00:00+00:00,,,,,,,,,,12.2427592553,,16.2923190909,10.5540175742,16.8230011963,44.1277976199,11.5428345645,,11.6272260231,20.0616886078,19.0245901926,,
2000-03-15 00:00:00+00:00,,,,,,,,,,12.9774452509,,16.21582933,11.2028515748,17.5025838189,43.360757856,12.2778167236,,11.6956751558,20.1630834239,20.1748072538,,
2000-03-16 00:00:00+00:00,,,,,,,,,,13.7964394755,,16.9160048344,12.1551724466,18.4753197297,44.8718261909,12.9525544435,,12.2478314937,21.206001532,21.6854256609,,
2000-03-17 00:00:00+00:00,,,,,,,,,,13.2812090044,,16.4019936406,12.1681370918,18.4202928587,45.9303410652,12.7467178702,,12.2464054701,21.2277289926,21.7198087161,,
2000-03-20 00:00:00+00:00,,,,,,,,,,13.4442056604,,16.1422068442,11.9370632756,18.5271158691,45.7385811242,12.6379265371,,12.1958384805,21.6405507438,21.5123680244,,
2000-03-21 00:00:00+00:00,,,,,,,,,,13.6011654032,,16.6617804369,12.3729525198,18.9210257201,46.935163156,12.8736410923,,12.1176894967,21.7709155073,21.7505406704,,
2000-03-22 00:00:00+00:00,,,,,,,,,,13.2510244385,,16.5318870387,12.4832377502,18.8409084622,47.7482253058,12.7708937221,,11.8372725546,22.3285869957,21.6583448074,,
2000-03-23 00:00:00+00:00,,,,,,,,,,13.661534535,,16.5141743026,12.9138753167,19.2815533802,48.6610026248,12.6621023889,,12.0395405128,22.415496838,21.7198087161,,
2000-03-24 00:00:00+00:00,,,,,,,,,,13.59512849,,16.5495997748,13.0661739682,19.3950528288,49.0752040974,12.4384757596,,11.9246155366,22.6110439833,21.7889556133,,
2000-03-27 00:00:00+00:00,,,,,,,,,,13.5347593581,,16.6086422285,12.6355364018,19.1547010553,49.4740647746,12.2752887598,,12.0901075024,22.4517092723,21.7274917046,,
2000-03-28 00:00:00+00:00,,,,,,,,,,13.2812090044,,16.5318870387,12.7353182769,19.1012895501,48.2774827429,12.4203438707,,12.0303465147,22.4734367329,21.8043215904,,
2000-03-29 00:00:00+00:00,,,,,,,,,,13.5528700977,,17.3998111082,12.6355364018,19.3416413236,46.8584591796,12.7225420184,,12.2464054701,22.1330398504,22.2345689509,,
2000-03-30 00:00:00+00:00,,,,,,,,,,13.9211218019,,17.3998111082,12.66179479,19.4684936484,45.5928435691,12.8917729811,,12.2188234758,21.8216129153,22.7262802201,,
